field,count,total,coverage_pct,grade
D6_EFFECT,2778,3740,74.28,B
D6_pure_score,2778,3740,74.28,B
_fromCodome,6,3740,0.16,F
atom,3734,3740,99.84,A
atom_confidence,471,3740,12.59,F
atom_family,3734,3740,99.84,A
atom_type,471,3740,12.59,F
base_classes,117,3740,3.13,F
betweenness_centrality,3734,3740,99.84,A
body_source,2781,3740,74.36,B
boundary,3734,3740,99.84,A
call_chain_length,3734,3740,99.84,A
closeness_centrality,3734,3740,99.84,A
codome_source,6,3740,0.16,F
coherence_score,3734,3740,99.84,A
color_hint,6,3740,0.16,F
complexity,3734,3740,99.84,A
complexity_rating,2778,3740,74.28,B
confidence,3734,3740,99.84,A
confidence_raw,3734,3740,99.84,A
control_flow,2778,3740,74.28,B
control_flow.branches,2778,3740,74.28,B
control_flow.complexity_rating,2778,3740,74.28,B
control_flow.cyclomatic_complexity,2778,3740,74.28,B
control_flow.decision_points,2778,3740,74.28,B
control_flow.early_returns,2778,3740,74.28,B
control_flow.loops,2778,3740,74.28,B
control_flow.max_nesting_depth,2778,3740,74.28,B
control_flow.nesting_rating,2778,3740,74.28,B
cyclomatic_complexity,2778,3740,74.28,B
data_flow,2778,3740,74.28,B
data_flow.assignments,2778,3740,74.28,B
data_flow.mutations,2778,3740,74.28,B
data_flow.pure_score,2778,3740,74.28,B
data_flow.purity_rating,2778,3740,74.28,B
data_flow.side_effects,2778,3740,74.28,B
decorators,322,3740,8.61,F
depth_from_entry,3734,3740,99.84,A
description,6,3740,0.16,F
detected_atoms,1373,3740,36.71,D
dimensions,3740,3740,100.0,A
dimensions.D1_ECOSYSTEM,308,3740,8.24,F
dimensions.D1_WHAT,3740,3740,100.0,A
dimensions.D2_HOW,6,3740,0.16,F
dimensions.D2_LAYER,3734,3740,99.84,A
dimensions.D3_LAYER,6,3740,0.16,F
dimensions.D3_ROLE,3734,3740,99.84,A
dimensions.D3_ROLE_CONFIDENCE,720,3740,19.25,F
dimensions.D3_ROLE_EVIDENCE,720,3740,19.25,F
dimensions.D3_ROLE_SOURCE,3734,3740,99.84,A
dimensions.D4_BOUNDARY,3734,3740,99.84,A
dimensions.D5_STATE,3734,3740,99.84,A
dimensions.D6_EFFECT,3734,3740,99.84,A
dimensions.D7_LIFECYCLE,3734,3740,99.84,A
dimensions.D8_TRUST,3734,3740,99.84,A
dimensions.R6_TRANSFORMATION,2920,3740,78.07,B
dimensions.R6_TRANSFORMATION.arity,2920,3740,78.07,B
dimensions.R6_TRANSFORMATION.inputs,2354,3740,62.94,C
dimensions.R6_TRANSFORMATION.is_pure,2920,3740,78.07,B
dimensions.R6_TRANSFORMATION.output,2920,3740,78.07,B
dimensions.R6_TRANSFORMATION.signature,2920,3740,78.07,B
dimensions.boundary,3734,3740,99.84,A
dimensions.lifecycle,3734,3740,99.84,A
dimensions.purity,3734,3740,99.84,A
dimensions.responsibility,3734,3740,99.84,A
dimensions.state,3734,3740,99.84,A
disconnection,1848,3740,49.41,D
disconnection.connection_gap,1848,3740,49.41,D
disconnection.isolation_confidence,1848,3740,49.41,D
disconnection.reachability_source,1848,3740,49.41,D
disconnection.suggested_action,1848,3740,49.41,D
discovery_method,3734,3740,99.84,A
docstring,2174,3740,58.13,C
effect,3734,3740,99.84,A
end_line,3734,3740,99.84,A
file_path,3740,3740,100.0,A
icon,6,3740,0.16,F
id,3740,3740,100.0,A
in_degree,3740,3740,100.0,A
intent_profile,3417,3740,91.36,A
intent_profile.commit_intents,3417,3740,91.36,A
intent_profile.docstring,2248,3740,60.11,C
intent_profile.has_commits,3417,3740,91.36,A
intent_profile.has_docstring,3417,3740,91.36,A
is_bridge,3734,3740,99.84,A
is_codome_boundary,6,3740,0.16,F
is_coordinator,3734,3740,99.84,A
is_god_class,73,3740,1.95,F
is_influential,3734,3740,99.84,A
kind,3740,3740,100.0,A
layer,3734,3740,99.84,A
lifecycle,3734,3740,99.84,A
lines_of_code,3734,3740,99.84,A
max_nesting_depth,2778,3740,74.28,B
metadata,3734,3740,99.84,A
metadata.api_version,3,3740,0.08,F
metadata.file_node,316,3740,8.45,F
metadata.k8s_kind,3,3740,0.08,F
name,3740,3740,100.0,A
nesting_rating,2778,3740,74.28,B
out_degree,3740,3740,100.0,A
pagerank,3734,3740,99.84,A
params,2354,3740,62.94,C
parent,1534,3740,41.02,D
pi2_confidence,3734,3740,99.84,A
pi2_purpose,3734,3740,99.84,A
pi3_child_count,472,3740,12.62,F
pi3_confidence,472,3740,12.62,F
pi3_purpose,472,3740,12.62,F
pi4_confidence,3734,3740,99.84,A
pi4_purpose,3734,3740,99.84,A
purpose_coherence,3734,3740,99.84,A
purpose_coherence.atomic_confidence,3734,3740,99.84,A
purpose_coherence.atomic_purpose,3734,3740,99.84,A
purpose_coherence.coherence_score,3734,3740,99.84,A
purpose_coherence.composite_purpose,324,3740,8.66,F
purpose_coherence.is_god_class,3734,3740,99.84,A
purpose_coherence.layer,3734,3740,99.84,A
purpose_coherence.purpose_entropy,3734,3740,99.84,A
purpose_coherence.unique_child_purposes,3734,3740,99.84,A
purpose_entropy,3734,3740,99.84,A
purpose_intelligence,3740,3740,100.0,A
purpose_intelligence.Q_alignment,3740,3740,100.0,A
purpose_intelligence.Q_coherence,3740,3740,100.0,A
purpose_intelligence.Q_completeness,3740,3740,100.0,A
purpose_intelligence.Q_density,3740,3740,100.0,A
purpose_intelligence.Q_intrinsic,3740,3740,100.0,A
purpose_intelligence.Q_purity,3740,3740,100.0,A
purpose_intelligence.Q_simplicity,3740,3740,100.0,A
purpose_intelligence.Q_total,3740,3740,100.0,A
reachable_from_entry,3734,3740,99.84,A
return_type,1542,3740,41.23,D
role,3734,3740,99.84,A
role_confidence,3734,3740,99.84,A
role_confidence_raw,3734,3740,99.84,A
rpbl,3734,3740,99.84,A
rpbl.boundary,3734,3740,99.84,A
rpbl.lifecycle,3734,3740,99.84,A
rpbl.purity,3734,3740,99.84,A
rpbl.responsibility,3734,3740,99.84,A
rpbl_boundary,3734,3740,99.84,A
rpbl_lifecycle,3734,3740,99.84,A
rpbl_purity,3734,3740,99.84,A
rpbl_responsibility,3734,3740,99.84,A
scope_analysis,160,3740,4.28,F
scope_analysis.definitions,160,3740,4.28,F
scope_analysis.references,160,3740,4.28,F
scope_analysis.shadowed_count,160,3740,4.28,F
scope_analysis.unused_count,160,3740,4.28,F
semantic_role,3734,3740,99.84,A
signature,3418,3740,91.39,A
start_line,3734,3740,99.84,A
state,3734,3740,99.84,A
symbol_kind,3734,3740,99.84,A
tier,3740,3740,100.0,A
topology_role,3740,3740,100.0,A
type,3740,3740,100.0,A
